// SpatialAnalyzer SA 2018.07.11_43856 ( x64 )  
// ???????? 'A::WORLD'
// 68.26%????(1.0 sigma)
// UNCERTAINTY: U-x,  U-y,  U-z
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [HighTol-x],  [LowTol-x],  [HighTol-y],  [LowTol-y],  [HighTol-z],  [LowTol-z],  [HighTol-mag],  [LowTol-mag],  [U-x],  [U-y],  [U-z],  [U-mag],  [W-x],  [W-y],  [W-z],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

P21,  -2920.359747,  1121.853304,  -303.460541,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:39:23,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.024812 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.015716 mm, h = 0.000101, v = 0.000335 deg. Level Compensation OFF
P22,  -2819.173894,  1248.422878,  -302.981559,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:39:38,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.009215 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.002761 mm, h = 0.000163, v = 0.000016 deg. Level Compensation OFF
P23,  -2898.462677,  1330.288742,  -186.522594,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:39:54,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.010926 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.008037 mm, h = 0.000127, v = 0.000039 deg. Level Compensation OFF
P24,  -2912.413766,  1224.708393,  -245.152747,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:40:08,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.066095 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.013656 mm, h = 0.001001, v = 0.000609 deg. Level Compensation OFF
P25,  -3003.736152,  1205.383712,  -185.084896,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:40:27,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.037034 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.015654 mm, h = 0.000593, v = 0.000041 deg. Level Compensation OFF
P26,  -2920.352155,  1121.856376,  -303.463100,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:40:41,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.008932 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.005615 mm, h = 0.000061, v = 0.000111 deg. Level Compensation OFF
P27,  -2819.175162,  1248.422703,  -302.979391,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:40:56,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.008072 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.002115 mm, h = 0.000143, v = 0.000019 deg. Level Compensation OFF
P28,  -2898.465198,  1330.298745,  -186.521828,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:41:12,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.014682 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.009808 mm, h = 0.000194, v = 0.000029 deg. Level Compensation OFF
P29,  -2912.419727,  1224.661897,  -245.181738,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:41:26,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.010536 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.006636 mm, h = 0.000135, v = 0.000062 deg. Level Compensation OFF
P30,  -3003.744151,  1205.392313,  -185.083582,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  10/10/20 14:41:44,  ,  AT960-MR 751643 ,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.033350 mm,  Weather:T=25.6C,P=1008.1hPA(mbar),H=64.2%,  Measure Time Stable Point Standard Pt. To SA Parameters:,  ???? =  ??/??,  ???????=0.000000,  ?=5,  Measure Time (Sec)=0.500000,  ????=0.001000,  ????=0.300000,  ?/??=??,  ???????=??,  std components: d = 0.014363 mm, h = 0.000531, v = 0.000048 deg. Level Compensation OFF
