// SpatialAnalyzer SA 2018.07.11_43856 ( x64 )  
// ???????? 'A::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Point,  X,  Y,  Z

P173,  -2898.490582,  1330.343163,  -186.418100
P174,  -2912.455978,  1224.756598,  -245.047902
P175,  -3003.792943,  1205.413119,  -184.982383
P176,  -2920.383323,  1121.853586,  -303.369183
P177,  -2819.187056,  1248.472340,  -302.883014
P178,  -2898.493644,  1330.354999,  -186.411029
P179,  -2912.462653,  1224.729202,  -245.053082
P180,  -3003.788541,  1205.414647,  -184.973227
P181,  -2920.391771,  1121.852316,  -303.375692
P182,  -2819.192350,  1248.464309,  -302.878221
P183,  -2898.487108,  1330.348809,  -186.400334
P184,  -2912.465052,  1224.730386,  -245.056162
P185,  -3003.782150,  1205.417992,  -184.969742
P186,  -2920.391058,  1121.857413,  -303.362385
P187,  -2819.193443,  1248.468069,  -302.875914
P188,  -2898.485700,  1330.349727,  -186.405247
P189,  -2912.462129,  1224.714885,  -245.065754
P190,  -3003.783508,  1205.418955,  -184.970697
P191,  -2920.391839,  1121.858088,  -303.366749
P192,  -2819.197660,  1248.465626,  -302.877507
P193,  -2898.489725,  1330.356831,  -186.402267
P194,  -2912.466677,  1224.694865,  -245.078182
P195,  -3003.793976,  1205.419948,  -184.968967
P196,  -2920.387006,  1121.852877,  -303.360218
P197,  -2819.197145,  1248.464424,  -302.871023
P198,  -2898.493638,  1330.358675,  -186.408172
P199,  -2912.469439,  1224.725198,  -245.049754
